Read 40 queries.
Using Bao: True
Executing queries using PG optimizer for initial training
x x 1640053023.1387165 sample_queries/q33_2a156.sql 11.160907506942749 PG
x x 1640053029.7849653 sample_queries/q11_17e.sql 6.64605188369751 PG
x x 1640053035.610748 sample_queries/q20_24b.sql 5.825656890869141 PG
x x 1640053072.27735 sample_queries/q18_7a103.sql 36.666486740112305 PG
x x 1640053079.635607 sample_queries/q37_2a1291.sql 7.358106851577759 PG
x x 1640053090.5179632 sample_queries/q35_1a1508.sql 10.882169723510742 PG
x x 1640053128.1037796 sample_queries/q5_8a423.sql 37.58568239212036 PG
x x 1640053245.327251 sample_queries/q13_7a121.sql 117.22336292266846 PG
x x 1640053255.935315 sample_queries/q25_13d.sql 10.607893228530884 PG
x x 1640053262.4864671 sample_queries/q11_17e.sql 6.551048755645752 PG
x x 1640053298.8482015 sample_queries/q18_7a103.sql 36.36155414581299 PG
x x 1640053480.428146 sample_queries/q2_8a82.sql 181.57980608940125 PG
x x 1640053486.9985213 sample_queries/q11_17e.sql 6.570253372192383 PG
x x 1640053494.874424 sample_queries/q17_7a164.sql 7.875755310058594 PG
x x 1640053507.0967422 sample_queries/q33_2a156.sql 12.222126960754395 PG
x x 1640053509.7192388 sample_queries/q29_6e.sql 2.6223623752593994 PG
x x 1640053546.0920546 sample_queries/q18_7a103.sql 36.3726589679718 PG
x x 1640053553.0997863 sample_queries/q31_2a39.sql 7.0076000690460205 PG
x x 1640053560.4361382 sample_queries/q39_2a2781.sql 7.336202383041382 PG
x x 1640053565.8330944 sample_queries/q10_2a265.sql 5.396807909011841 PG
x x 1640053573.6311903 sample_queries/q39_2a2781.sql 7.797948598861694 PG
x x 1640053584.720572 sample_queries/q35_1a1508.sql 11.08924126625061 PG
x x 1640053682.12037 sample_queries/q22_8a27.sql 97.39968705177307 PG
x x 1640053685.9506333 sample_queries/q16_26c.sql 3.8301126956939697 PG
x x 1640053694.2438362 sample_queries/q8_6a505.sql 8.29305624961853 PG
Initial input channels: 10
Epoch 0 training loss: 151.7653262976444
Epoch 15 training loss: 132.36556220777106
Epoch 30 training loss: 126.66085954145952
Epoch 45 training loss: 120.36146661007044
Epoch 60 training loss: 113.63829156124231
Epoch 75 training loss: 107.4144217751243
Epoch 90 training loss: 101.56078847249348
Stopped training after max epochs
Old model # regressions: 0 regression amount: 0
New model # regressions: 0 regression amount: 0
New model had no regressions.
0 0 1640053963.321242 sample_queries/q22_8a27.sql 6.475210189819336
0 1 1640053971.8855636 sample_queries/q13_7a121.sql 8.564148426055908
0 2 1640053980.7653642 sample_queries/q13_7a121.sql 8.87962818145752
0 3 1640053990.1392968 sample_queries/q40_2a8120.sql 9.373769998550415
0 4 1640053996.773519 sample_queries/q32_2a493.sql 6.634042501449585
0 5 1640054005.1392767 sample_queries/q39_2a2781.sql 8.365612506866455
0 6 1640054013.3521254 sample_queries/q37_2a1291.sql 8.212645292282104
0 7 1640054016.9871697 sample_queries/q29_6e.sql 3.634889841079712
0 8 1640054026.5967095 sample_queries/q8_6a505.sql 9.609422206878662
0 9 1640054028.1531587 sample_queries/q24_32a.sql 1.5562944412231445
0 10 1640054033.0402434 sample_queries/q30_18c.sql 4.886941432952881
0 11 1640054042.5771384 sample_queries/q40_2a8120.sql 9.536763429641724
0 12 1640054049.4038026 sample_queries/q32_2a493.sql 6.826538801193237
0 13 1640054056.5640717 sample_queries/q4_8a122.sql 7.160133600234985
0 14 1640054079.8813858 sample_queries/q31_2a39.sql 23.317160844802856
0 15 1640054088.3027442 sample_queries/q36_7a136.sql 8.421197652816772
0 16 1640054093.1327226 sample_queries/q11_17e.sql 4.8298070430755615
0 17 1640054101.8268135 sample_queries/q1_8a463.sql 8.693906307220459
0 18 1640054107.479774 sample_queries/q20_24b.sql 5.652816534042358
0 19 1640054115.7628164 sample_queries/q13_7a121.sql 8.282920837402344
0 20 1640054124.3656697 sample_queries/q1_8a463.sql 8.602722644805908
0 21 1640054131.982697 sample_queries/q14_6a349.sql 7.616870403289795
