id,title,imdb_index,kind_id,production_year,imdb_id,phonetic_code,episode_of_id,season_nr,episode_nr,series_years,md5sum,id,movie_id,info_type_id,info,note,id,movie_id,info_type_id,info,note
6615,And the Cupcake War,,7,2012,,A5321,6597,2,4,,9b5141f8129631f96c5d99b5efc6f212,813038,6615,17,"Final tally for cupcake business venture: $1,028.00.",,2714,6615,100,125,
6620,And the Hidden Stash,,7,2012,,A5352,6597,2,1,,648ad42989ae2954d7b639ea524a4204,813043,6620,17,Final tally for cupcake business venture: $727.00.,,2729,6620,100,203,
2038,Light My Fire,,7,2009,,L2351,2025,1,7,,e6581f29566ed3ba2b4ec694b47ff432,812945,2038,17,This episode uses the name of the 1967 song by The Doors as it's title.,,1265,2038,100,37,
2296,Wild and the Innocent,,7,2004,,W4353,2281,1,15,,020a06ac2c58fe5fde97f1d0d3392c29,812950,2296,17,Last show of the series.,,1382,2296,100,6,
4289,Adventure Mouse,,7,2005,,A3153,4288,1,7,,1e2e324a9c2cb0293237634e333edaa6,812979,4289,17,"When this episode premiered, there were no end credits because post-production had not yet been completed. Additional visual effects and the end credits were added in post-production and are seen in all subsequent airings.",,2159,4289,100,9,
7377,20-e dekabrya,,2,1981,,E3216,,,,1981-????,ef852f904de22452d954d91b9a53d9c2,813073,7377,17,Awarded the Brothers Vasiliev State Prize (1982).,,2975,7377,100,80,
8368,Chapel of Love,,7,1988,,C1414,8343,2,14,,44ab824da580c451d604869ae5b231cc,813123,8368,17,"This episode takes place on Valentine's Day, which is dated 2/14. This also happens to be episode 14 of season 2.",,3233,8368,100,37,
8433,The Worst Night of Your Life,,7,1987,,W6235,8343,1,5,,9d036f8bd82e97fc16a145a1895e9ba5,813149,8433,17,This was the 'Frederic Forrest' (qv)'s final episode. 'Steven Williams (I)' (qv) would join the cast in the next episode as Captain Adam Fuller.,,3428,8433,100,58,
8433,The Worst Night of Your Life,,7,1987,,W6235,8343,1,5,,9d036f8bd82e97fc16a145a1895e9ba5,813150,8433,17,SPOILER: 'Frederic Forrest' (qv)'s character was killed off due to creative differences with the showrunners. (Forrest was primarily a movie actor and found the schedule of a TV series to be too punishing. He started deliberating fudging his lines and acting up onset in a successful effort to get himself fired.),,3428,8433,100,58,
8437,Two for the Road,,7,1987,,T1636,8343,2,4,,0b9bc2022330542970222e290391f476,813151,8437,17,'Pauly Shore' (qv)'s TV debut.,,3440,8437,100,50,
8437,Two for the Road,,7,1987,,T1636,8343,2,4,,0b9bc2022330542970222e290391f476,813152,8437,17,"'Jason Priestley' (qv) previously appeared as Tober in the series one finale _""21 Jump Street: Mean Streets and Pastel Houses (#1.12)""_.",,3440,8437,100,50,
8442,Wheels and Deals: Part 2,,7,1989,,W4253,8343,4,10,,f6f2f50640aee14c7abc0f2f61a21b42,813153,8442,17,"Part 1 was a ""Booker"" episode titled ""Deals and Wheels"" (episode 1.8)",,3455,8442,100,27,
